timestamp,state,x,y
1688627681596,1,-232.5853,170.6577,0
1688627681596,1,-232.5853,170.6577,1
1688627681596,1,-232.5853,170.6577,2
1688627681615,1,-221.7143,155.1209,0
1688627681615,1,-221.7143,155.1209,1
1688627681615,1,-221.7143,155.1209,2
1688627681634,1,-182.766,157.5385,0
1688627681634,1,-182.766,157.5385,1
1688627681634,1,-182.766,157.5385,2
1688627681653,1,-174.1411,153.2321,0
1688627681653,1,-174.1411,153.2321,1
1688627681653,1,-174.1411,153.2321,2
1688627681675,1,-230.1371,159.0389,0
1688627681675,1,-230.1371,159.0389,1
1688627681675,1,-230.1371,159.0389,2
1688627681700,0,-181.6462,125.3637,0
1688627681700,0,-181.6462,125.3637,1
1688627681700,0,-181.6462,125.3637,2
1688627681719,0,-176.2057,134.6732,0
1688627681719,0,-176.2057,134.6732,1
1688627681719,0,-176.2057,134.6732,2
1688627681736,0,-173.9015,138.5925,0
1688627681736,0,-173.9015,138.5925,1
1688627681736,0,-173.9015,138.5925,2
1688627681758,0,-177.1912,128.1553,0
1688627681758,0,-177.1912,128.1553,1
1688627681758,0,-177.1912,128.1553,2
1688627681780,0,-227.4551,142.426,0
1688627681780,0,-227.4551,142.426,1
1688627681780,0,-227.4551,142.426,2
1688627681805,0,-205.6928,146.1064,0
1688627681805,0,-205.6928,146.1064,1
1688627681805,0,-205.6928,146.1064,2
1688627681821,0,-219.5901,141.1791,0
1688627681821,0,-219.5901,141.1791,1
1688627681821,0,-219.5901,141.1791,2
1688627681842,0,-227.8501,118.6993,0
1688627681842,0,-227.8501,118.6993,1
1688627681842,0,-227.8501,118.6993,2
1688627681863,0,-215.626,132.3344,0
1688627681863,0,-215.626,132.3344,1
1688627681863,0,-215.626,132.3344,2
1688627681886,0,-220.673,120.2963,0
1688627681886,0,-220.673,120.2963,1
1688627681886,0,-220.673,120.2963,2
1688627681903,0,-231.3469,112.7683,0
1688627681903,0,-231.3469,112.7683,1
1688627681903,0,-231.3469,112.7683,2
1688627681926,0,-229.639,115.4515,0
1688627681926,0,-229.639,115.4515,1
1688627681926,0,-229.639,115.4515,2
1688627681948,0,-210.4117,119.8189,0
1688627681948,0,-210.4117,119.8189,1
1688627681948,0,-210.4117,119.8189,2
1688627681968,0,-195.5713,124.9525,0
